#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,922,135,1119,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,300,JavaScript
hello-world,5707,330,1401,Python
alexa-skills-kit-nodejs-howtoskill,229,55,199,JavaScript
microservice-http-endpoint,5707,330,1401,Python
Datadog-Log-Forwarder,106,146,141,Python
alexa-skills-kit-color-expert-python,5707,330,1401,Python
image-resizer-service,50,0,27,JavaScript
alexa-skills-kit-python36-factskill,68,21,129,Python
alexa-smart-home-skill-adapter,5707,330,1401,Python
alexa-skills-kit-nodejs-premium-facts-skill,43,26,47,JavaScript
alexa-skills-kit-color-expert,5707,330,1401,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,28,2,8,JavaScript
hello-world-python3,5707,330,1401,Python
api-gateway-dev-portal,459,36,154,JavaScript
api-lambda-send-email-ses,12,2,2,JavaScript
serverless-todo,19,3,9,JavaScript
https-request,5707,332,1401,Python
hello-world-python,5707,332,1401,Python
aws-deployment-framework,140,24,30,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5707,332,1401,Python
AmazonConnectSalesforceLambda,4,1,1,Python
alexa-skills-kit-nodejs-hello-world,144,56,228,JavaScript
NewRelic-log-ingestion,5,17,6,Python
ALB-Lambda-Target-HelloWorld,193,22,59,Java
hello-go-serverless-webapp,15,3,4,Go
image-processing-service,5707,332,1401,Python
s3-get-object,5707,332,1401,Python
Contact-Us,36,2,12,JavaScript
cloudwatch-alarm-to-slack,5707,332,1401,Python
lambda-web-page-example,4,0,4,JavaScript
simple-mobile-backend,5707,332,1401,Python
api-gateway-authorizer-nodejs,5707,332,1401,Python
serverless-cognito,43,2,6,Python
sqs-poller,5707,332,1401,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
alexa-anagram,4,3,3,JavaScript
lambda-to-slack,4,1,2,Python
Tesseract,745,39,127,Python
sns-message,5707,332,1401,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5707,332,1401,Python
lambdium,200,10,31,JavaScript
cloudfront-http-redirect,5707,332,1401,Python
amazon-cognito-passwordless-email-auth,56,3,21,TypeScript
SecretsManagerRedshiftRotationSingleUser,40,11,34,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
aws-serverless-twitter-event-source,57,15,15,Python
ffmpeg-lambda-layer,57,8,11,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
image-magick-lambda-layer,15,3,4,JavaScript
microservice-http-endpoint-python3,5707,332,1401,Python
pipeline-dashboard,77,8,28,JavaScript
rekognition-python,5707,332,1401,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
sns-subscription-filter-policy-string,79,12,11,Python
cfn-nag-pipeline,475,32,86,Ruby
s3-get-object-python,5707,332,1401,Python
lex-book-trip,5707,332,1401,Python
sns-message-python,5707,332,1401,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
s3-get-object-python3,5707,332,1401,Python
resize,72,6,34,JavaScript
helloWorldLex,22,3,10,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,40,11,34,Python
amazon-cloudfront-access-logs-queries,16,2,12,JavaScript
cloudfront-modify-response-header,5707,332,1401,Python
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,31,7,9,Java
dynamodb-process-stream-python3,5707,332,1401,Python
Pandas,745,39,127,Python
stu,19,4,8,HTML
aws-sagemaker-ground-truth-recipe,3,0,3,Python
