#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,937,135,1139,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,302,JavaScript
hello-world,5884,333,1458,Python
alexa-skills-kit-nodejs-howtoskill,230,56,200,JavaScript
Datadog-Log-Forwarder,110,149,157,Python
microservice-http-endpoint,5884,333,1458,Python
alexa-skills-kit-color-expert-python,5884,333,1458,Python
alexa-skills-kit-python36-factskill,76,22,135,Python
image-resizer-service,53,0,27,JavaScript
alexa-smart-home-skill-adapter,5884,333,1458,Python
alexa-skills-kit-nodejs-premium-facts-skill,45,27,47,JavaScript
alexa-skills-kit-color-expert,5884,333,1458,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,29,2,8,JavaScript
api-gateway-dev-portal,470,36,159,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,5884,333,1458,Python
serverless-todo,19,3,10,JavaScript
https-request,5884,333,1458,Python
hello-world-python,5884,333,1458,Python
aws-deployment-framework,163,25,39,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,143,57,236,JavaScript
cloudfront-response-generation,5884,333,1458,Python
AmazonConnectSalesforceLambda,4,1,1,Python
NewRelic-log-ingestion,6,16,8,Python
ALB-Lambda-Target-HelloWorld,197,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5884,333,1458,Python
s3-get-object,5884,333,1458,Python
cloudwatch-alarm-to-slack,5884,333,1458,Python
simple-mobile-backend,5884,333,1458,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
Contact-Us,37,2,12,JavaScript
image-magick-lambda-layer,25,6,6,JavaScript
lambda-web-page-example,4,0,5,JavaScript
sqs-poller,5884,333,1458,Python
api-gateway-authorizer-nodejs,5884,333,1458,Python
serverless-cognito,44,2,6,Python
lambda-to-slack,4,1,2,Python
Tesseract,762,39,132,Python
ffmpeg-lambda-layer,66,8,12,JavaScript
alexa-anagram,4,3,4,JavaScript
sns-message,5884,333,1458,Python
tic-tac-toe,1,1,1,Python
amazon-cognito-passwordless-email-auth,60,4,24,TypeScript
microservice-http-endpoint-python,5884,333,1458,Python
CodePipelineSlackNotifier,60,2,24,Shell
SecretsManagerRedshiftRotationSingleUser,41,13,41,Python
lambdium,208,10,32,JavaScript
cloudfront-http-redirect,5884,333,1458,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
microservice-http-endpoint-python3,5884,333,1458,Python
aws-serverless-twitter-event-source,60,16,15,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
api-lambda-update-dynamodb,1,2,1,JavaScript
cfn-nag-pipeline,491,33,93,Ruby
pipeline-dashboard,80,8,30,JavaScript
rekognition-python,5884,333,1458,Python
sns-subscription-filter-policy-string,88,14,15,Python
s3-get-object-python,5884,333,1458,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
sns-message-python,5884,333,1458,Python
lex-book-trip,5884,333,1458,Python
amazon-cloudfront-access-logs-queries,16,3,12,JavaScript
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,41,13,41,Python
s3-get-object-python3,5884,333,1458,Python
resize,72,6,34,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
helloWorldLex,22,3,10,JavaScript
lightsail-backups,42,9,17,JavaScript
cloudfront-modify-response-header,5884,333,1458,Python
aws-sagemaker-ground-truth-recipe,3,1,3,Python
dynamodb-process-stream-python3,5884,333,1458,Python
Chromium,762,39,132,Python
Pandas,762,39,132,Python
api-lambda-stripe-charge,20,4,2,JavaScript
stu,21,4,9,HTML
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,31,7,9,Java
s3-presigned-url,5884,333,1458,Python
fork-event-storage-backup-pipeline,88,14,15,Python
DocumentGenerator,762,39,132,Python
workmail-hello-world-python,5,3,4,Python
step-functions-send-to-sns,5884,333,1458,Python
api-lambda-sns-publisher,0,1,1,JavaScript
lex-order-flowers,5884,333,1458,Python
sqs-to-dynamodb,0,1,1,JavaScript
fork-event-replay-pipeline,88,14,15,Python
image-moderation-chatbot,109,44,50,Python
ses-notification-nodejs,5884,333,1458,Python
elasticsearch-cleanup,90,19,55,HCL
auto-subscribe-log-group-to-arn,13,1,1,JavaScript
slack-echo-command,5884,333,1458,Python
galleria,72,6,34,JavaScript
fork-event-search-analytics-pipeline,88,14,15,Python
s3-static-site,5,1,2,None
Twitter-Poller-to-Kinesis-Firehose,101,27,42,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
lambda-layer-awscli,31,3,8,Makefile
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
slack-echo-command-python,5884,333,1458,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
timber-logging,3,8,2,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
serverless-chrome-layer,2,1,0,JavaScript
